company_id,year,net_profit_margin,operational_profit_margin,returns_on_equity,returns_on_capital_employment,returns_on_assets,debt_to_equity,high_leverage_flag,interest_coverage_ratio,icr_label,icr_warning_flag,net_debt,asset_turn_over
TATASTEEL,2019-03,5.786,18.595,13.235,17.272,3.919,1.463,False,4.026,,False,95078.000,0.677
TATASTEEL,2020-03,0.840,12.490,1.596,9.196,0.471,1.581,False,1.935,,False,110043.000,0.561
TATASTEEL,2021-03,5.240,19.517,11.032,18.744,3.358,1.192,False,4.034,,False,77819.000,0.641
TATASTEEL,2022-03,17.113,26.025,36.480,33.415,14.782,0.660,False,11.862,,False,62421.000,0.864
TATASTEEL,2023-03,3.318,13.273,7.834,17.183,2.829,0.824,False,5.377,,False,76483.000,0.853
TATASTEEL,2024-03,-2.143,9.708,-5.335,12.421,-1.823,0.946,False,2.163,,False,80824.000,0.851
TCS,2013-03,22.347,28.640,36.517,46.402,27.105,0.009,False,400.375,,False,-1565.000,1.213
TCS,2014-03,23.631,30.746,39.297,50.822,28.928,0.006,False,686.923,,False,-3137.000,1.224
TCS,2015-03,21.194,25.866,39.617,48.011,27.360,0.007,False,271.173,,False,-1304.000,1.291
TCS,2016-03,22.401,28.236,34.244,43.015,27.566,0.003,False,1023.061,,False,-22577.000,1.231
TCS,2017-03,22.343,27.390,30.572,37.352,25.756,0.003,False,1141.625,,False,-41691.000,1.153
TCS,2018-03,21.023,26.413,30.401,38.086,24.618,0.003,False,695.346,,False,-35761.000,1.171
TCS,2019-03,21.549,26.973,35.286,44.137,27.710,0.001,False,221.298,,False,-29268.000,1.286
TCS,2020-03,20.674,26.830,38.570,45.622,27.011,0.097,False,50.542,,False,-18182.000,1.307
TCS,2021-03,19.833,28.351,37.673,49.397,25.049,0.090,False,76.078,,False,-21578.000,1.263
TCS,2022-03,20.051,27.669,43.134,54.722,27.284,0.088,False,72.800,,False,-22667.000,1.361
TCS,2023-03,18.763,26.284,46.783,60.399,29.612,0.085,False,80.498,,False,-29475.000,1.578
TCS,2024-03,19.137,26.691,50.944,65.269,31.689,0.089,False,87.095,,False,-23741.000,1.656
TECHM,2013-03,19.016,20.690,24.088,20.893,14.548,0.254,False,12.437,,False,-2719.000,0.765
TECHM,2014-03,16.286,22.189,33.348,43.709,19.210,0.040,False,55.200,,False,-1109.000,1.180
TECHM,2015-03,11.755,18.536,21.710,32.383,13.397,0.057,False,62.304,,False,-1403.000,1.140
TECHM,2016-03,11.425,16.079,20.746,27.165,13.438,0.075,False,48.588,,False,-206.000,1.176
TECHM,2017-03,9.783,14.358,17.345,23.502,10.941,0.083,False,38.442,,False,-1030.000,1.118
TECHM,2018-03,12.303,15.306,20.092,22.175,12.441,0.127,False,37.821,,False,-2444.000,1.011
TECHM,2019-03,12.345,18.050,21.144,28.145,12.824,0.098,False,51.165,,False,-5346.000,1.039
TECHM,2020-03,10.570,14.926,17.865,21.595,10.443,0.168,False,34.870,,False,-2178.000,0.988
TECHM,2021-03,11.499,17.953,17.507,24.476,10.992,0.117,False,43.586,,False,-7337.000,0.956
TECHM,2022-03,12.610,17.964,20.940,27.183,12.676,0.097,False,56.043,,False,-2266.000,1.005
TECHM,2023-03,9.114,14.567,17.394,25.316,10.599,0.098,False,26.773,,False,-648.000,1.163
TECHM,2024-03,4.610,8.666,8.988,15.428,5.555,0.095,False,13.860,,False,-701.000,1.205
TITAN,2013-03,7.162,10.017,36.802,51.472,12.322,0.000,False,21.824,,False,-3.000,1.720
TITAN,2014-03,6.726,9.582,29.132,31.441,12.027,0.320,False,13.379,,False,804.000,1.788
TITAN,2015-03,6.850,9.679,26.459,36.212,13.906,0.032,False,15.062,,False,97.000,2.030
TITAN,2016-03,5.986,8.327,19.247,25.939,10.643,0.032,False,24.000,,False,83.000,1.778
TITAN,2017-03,5.256,8.778,16.466,19.035,8.290,0.445,False,29.526,,False,1451.000,1.577
TITAN,2018-03,6.836,10.199,21.650,24.244,11.574,0.332,False,32.340,,False,1655.000,1.693
TITAN,2019-03,7.023,10.081,22.883,23.561,11.862,0.394,False,40.981,,False,2285.000,1.689
TITAN,2020-03,7.092,11.700,22.387,24.074,11.023,0.534,False,15.759,,False,3404.000,1.554
TITAN,2021-03,4.500,7.970,12.992,13.133,5.923,0.752,False,9.384,,False,2814.000,1.316
TITAN,2022-03,7.632,11.612,23.627,20.171,10.374,0.782,False,16.151,,False,6981.000,1.359
TITAN,2023-03,8.069,12.032,27.626,23.009,12.117,0.790,False,17.293,,False,6852.000,1.502
TITAN,2024-03,6.844,10.359,37.219,21.235,11.082,1.653,False,9.412,,False,13183.000,1.619
TORNTPHARM,2013-03,13.581,21.761,30.591,32.955,11.591,0.487,False,20.529,,False,633.000,0.853
TORNTPHARM,2014-03,15.916,22.891,34.892,31.466,13.222,0.595,False,16.763,,False,946.000,0.831
TORNTPHARM,2015-03,16.199,22.002,30.149,19.499,9.604,1.100,False,7.463,,False,2442.000,0.593
TORNTPHARM,2016-03,25.916,40.870,49.599,46.750,19.503,0.673,False,15.027,,False,1572.000,0.753
TORNTPHARM,2017-03,16.059,23.676,21.466,20.070,9.728,0.577,False,7.767,,False,1706.000,0.606
TORNTPHARM,2018-03,11.395,22.672,14.666,12.170,4.760,1.398,False,5.351,,False,5970.000,0.418
TORNTPHARM,2019-03,5.682,25.844,9.228,18.424,3.089,1.278,False,3.339,,False,5685.000,0.544
TORNTPHARM,2020-03,12.911,27.333,21.248,20.456,7.316,1.199,False,5.080,,False,5782.000,0.567
TORNTPHARM,2021-03,15.640,30.981,21.446,23.152,8.895,0.835,False,7.187,,False,4693.000,0.569
TORNTPHARM,2022-03,9.133,28.573,13.052,24.254,6.020,0.684,False,8.404,,False,3844.000,0.659
TORNTPHARM,2023-03,12.942,29.543,20.087,24.570,8.522,0.866,False,8.670,,False,5170.000,0.658
TORNTPHARM,2024-03,15.436,31.394,24.154,30.962,11.417,0.587,False,9.927,,False,3849.000,0.740
TRENT,2013-03,-1.266,0.235,-2.193,0.318,-1.222,0.279,False,2.172,,False,26.000,0.965
TRENT,2014-03,-0.814,-0.429,-1.917,-0.756,-0.981,0.335,False,3.115,,False,32.000,1.205
TRENT,2015-03,5.648,3.853,9.072,5.210,5.845,0.188,False,13.455,,False,-473.000,1.035
TRENT,2016-03,3.262,5.338,3.757,4.828,2.550,0.273,False,3.667,,False,-667.000,0.782
TRENT,2017-03,4.691,7.395,5.495,6.911,3.825,0.253,False,4.674,,False,-688.000,0.815
TRENT,2018-03,4.033,9.643,5.455,10.473,3.724,0.245,False,5.341,,False,-632.000,0.923
TRENT,2019-03,3.612,9.163,5.772,11.262,3.712,0.300,False,5.314,,False,-389.000,1.028
TRENT,2020-03,3.041,15.175,4.439,19.680,1.925,0.126,False,2.570,,False,-1215.000,0.633
TRENT,2021-03,-6.980,4.396,-7.825,4.363,-3.162,0.130,False,1.199,,True,-1187.000,0.453
TRENT,2022-03,0.778,13.228,1.481,8.393,0.453,1.999,False,2.298,,False,3441.000,0.582
TRENT,2023-03,4.780,13.516,15.177,15.779,4.875,1.720,False,3.557,,False,3354.000,1.020
TRENT,2024-03,11.935,15.927,36.308,33.860,20.623,0.431,False,8.043,,False,337.000,1.728
TVSMOTOR,2013-03,2.636,5.832,22.024,22.267,5.856,1.188,False,5.515,,False,720.000,2.221
TVSMOTOR,2014-03,2.230,5.868,16.107,26.046,5.149,0.627,False,6.700,,False,289.000,2.308
TVSMOTOR,2015-03,3.198,5.899,24.755,24.755,7.177,0.845,False,11.048,,False,580.000,2.244
